Age_Group,Client_Gender,IMG_URL,2019-09-01,2019-12-25,2020-01-01,2020-01-10,2020-01-21,2020-01-22,2020-01-24,2020-02-01,2020-02-02,2020-02-05,2020-02-10,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23
20s,FEMALE,https://raw.githubusercontent.com/Eldrick19/ontario-covid19-analysis/master/img/bar-chart-race/20-f.png,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,6,8,10,12,16,20,23,32,44,52,57,69,97,118,146,170,199,217,238,266,293,315,332,356,376,399,415,440,462,486,511,531,564,602,630,649,673,707,734,767,802,833,872,904,949,977,999,1037,1069,1094,1120,1145,1171,1199,1235,1266,1289,1317,1350,1376,1398,1424,1447,1467,1500,1521,1534,1562,1590,1622,1647,1667,1698,1717,1741,1772,1795,1832,1860,1883,1913,1927,1971,1999,2020,2042,2070,2094,2124,2159,2185,2208,2232,2251,2264,2280,2301,2315,2332,2346,2367,2381,2402,2424,2436,2459,2477,2493,2509,2528,2540,2556,2569,2597,2605,2618,2632,2643,2654,2664,2675,2679,2689,2701,2715,2733,2746,2759,2768,2779,2800,2831,2853,2873,2894,2905,2915,2929,2949,2963,2975,2984,3001,3014,3020,3040,3051,3056,3068,3073,3091,3099,3108,3118,3130,3136,3149,3155,3162,3172,3185,3199,3208,3213,3217,3222,3234,3242,3251,3258,3260,3260,3260
30s,FEMALE,https://raw.githubusercontent.com/Eldrick19/ontario-covid19-analysis/master/img/bar-chart-race/30-f.png,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,4,5,5,5,5,5,6,8,8,8,12,18,19,19,27,31,35,45,51,61,72,95,114,132,144,171,202,221,247,263,277,298,323,346,373,403,426,448,469,496,520,539,571,598,642,677,719,750,785,811,849,888,923,960,997,1026,1059,1092,1124,1157,1178,1201,1233,1266,1297,1324,1343,1377,1392,1414,1433,1464,1484,1505,1532,1553,1575,1600,1625,1649,1677,1705,1729,1745,1776,1801,1825,1841,1868,1879,1898,1923,1945,1966,1982,1999,2014,2029,2057,2076,2096,2111,2122,2129,2149,2168,2179,2189,2199,2211,2219,2231,2247,2258,2270,2280,2290,2299,2316,2334,2345,2354,2374,2381,2392,2395,2402,2410,2416,2424,2437,2445,2456,2469,2481,2497,2511,2526,2535,2545,2557,2566,2573,2585,2603,2611,2621,2632,2643,2655,2664,2676,2682,2688,2697,2704,2715,2720,2728,2733,2740,2745,2749,2755,2763,2773,2779,2787,2796,2799,2804,2809,2812,2818,2825,2830,2837,2841,2847,2850,2850,2850
40s,FEMALE,https://raw.githubusercontent.com/Eldrick19/ontario-covid19-analysis/master/img/bar-chart-race/middleaged-f.png,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,5,5,7,13,17,20,27,31,47,59,69,87,108,134,161,181,204,221,247,275,295,317,341,372,398,415,457,490,526,565,612,648,680,716,748,782,822,860,906,954,1003,1053,1088,1124,1176,1209,1239,1287,1326,1349,1379,1409,1448,1480,1518,1557,1589,1620,1664,1701,1724,1754,1776,1794,1816,1837,1854,1874,1897,1922,1937,1966,1993,2016,2044,2062,2081,2120,2153,2169,2199,2213,2231,2259,2280,2300,2331,2348,2364,2382,2396,2408,2426,2438,2448,2455,2472,2484,2502,2515,2528,2537,2547,2563,2577,2590,2600,2612,2622,2629,2641,2659,2667,2684,2689,2697,2705,2714,2724,2731,2740,2745,2754,2758,2764,2780,2787,2797,2806,2812,2818,2828,2842,2856,2862,2873,2880,2883,2897,2906,2911,2915,2923,2929,2938,2947,2957,2961,2968,2970,2971,2976,2981,2985,2991,2998,3005,3012,3013,3018,3023,3031,3034,3038,3040,3043,3051,3054,3057,3064,3069,3069,3069
50s,FEMALE,https://raw.githubusercontent.com/Eldrick19/ontario-covid19-analysis/master/img/bar-chart-race/middleaged-f.png,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,6,6,6,6,7,9,11,21,30,43,52,58,73,89,112,135,154,180,210,246,276,308,351,382,416,452,496,525,560,596,622,669,706,759,805,844,896,947,1001,1048,1098,1153,1192,1254,1295,1342,1386,1438,1502,1542,1588,1626,1674,1714,1749,1791,1822,1860,1900,1937,1976,2016,2052,2069,2105,2137,2168,2199,2227,2255,2272,2298,2338,2370,2397,2430,2453,2475,2505,2540,2571,2600,2620,2644,2669,2693,2707,2736,2758,2780,2800,2813,2833,2850,2860,2877,2887,2901,2909,2928,2940,2959,2980,3008,3014,3020,3038,3046,3056,3064,3082,3090,3093,3112,3135,3152,3160,3168,3173,3177,3188,3205,3213,3223,3233,3241,3247,3257,3266,3277,3285,3296,3302,3309,3325,3336,3347,3357,3369,3381,3386,3397,3407,3418,3429,3437,3446,3453,3461,3468,3471,3476,3480,3482,3484,3489,3500,3502,3509,3514,3519,3519,3525,3534,3541,3548,3552,3557,3562,3566,3568,3574,3580,3581,3581,3581
60s,FEMALE,https://raw.githubusercontent.com/Eldrick19/ontario-covid19-analysis/master/img/bar-chart-race/elderly-f.png,1,1,1,1,1,1,1,2,2,2,3,3,3,4,4,4,4,4,4,6,6,7,7,7,9,9,10,10,11,14,17,20,24,27,34,50,57,67,83,93,106,137,156,175,191,223,249,268,293,312,336,353,374,395,415,437,456,491,524,546,570,589,623,647,670,697,734,768,795,838,877,908,950,991,1015,1023,1060,1082,1114,1154,1176,1195,1214,1248,1272,1300,1321,1338,1354,1369,1380,1388,1399,1414,1429,1444,1457,1471,1491,1504,1530,1554,1570,1582,1598,1608,1623,1640,1653,1665,1679,1701,1716,1733,1741,1756,1767,1771,1780,1789,1800,1813,1823,1828,1834,1845,1850,1858,1867,1873,1878,1885,1900,1911,1920,1931,1934,1937,1947,1957,1966,1970,1975,1981,1985,1987,1995,1996,2001,2007,2009,2016,2018,2024,2028,2033,2037,2045,2055,2060,2071,2078,2085,2087,2090,2094,2100,2109,2117,2117,2122,2125,2131,2133,2140,2144,2145,2150,2151,2154,2159,2162,2164,2166,2172,2174,2176,2177,2181,2186,2189,2190,2194,2197,2201,2204,2205,2208,2212,2213,2213,2213
70s,FEMALE,https://raw.githubusercontent.com/Eldrick19/ontario-covid19-analysis/master/img/bar-chart-race/elderly-f.png,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,4,4,4,4,4,4,4,4,6,7,10,11,12,12,14,17,22,28,34,42,49,59,67,75,80,92,102,115,129,137,147,156,163,176,184,197,216,228,243,271,290,325,340,358,376,393,412,429,456,477,506,529,556,592,613,641,665,685,709,723,735,753,779,795,805,823,837,857,881,894,906,911,919,932,938,957,970,986,995,1007,1015,1029,1043,1059,1075,1082,1096,1108,1118,1131,1137,1141,1149,1158,1171,1179,1186,1196,1205,1214,1224,1230,1231,1237,1245,1253,1258,1258,1263,1265,1270,1276,1277,1283,1289,1291,1295,1299,1301,1302,1306,1308,1311,1315,1318,1318,1322,1322,1324,1329,1331,1332,1333,1336,1337,1341,1346,1348,1348,1350,1352,1352,1354,1356,1357,1359,1359,1360,1363,1365,1367,1368,1370,1371,1374,1374,1377,1377,1379,1381,1382,1382,1382,1383,1384,1384,1386,1386,1387,1389,1390,1393,1394,1394,1394,1395,1396,1397,1397,1401,1405,1406,1406,1406
80s,FEMALE,https://raw.githubusercontent.com/Eldrick19/ontario-covid19-analysis/master/img/bar-chart-race/elderly-f.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,4,6,7,7,7,9,10,12,14,19,21,28,37,44,53,64,73,85,99,119,137,150,167,190,217,244,284,322,356,395,424,459,505,546,588,643,713,764,834,908,994,1061,1113,1168,1192,1233,1271,1320,1352,1376,1407,1427,1467,1497,1529,1546,1565,1585,1601,1628,1646,1663,1696,1715,1732,1750,1770,1798,1814,1835,1865,1883,1902,1920,1937,1951,1961,1963,1969,1983,1992,2006,2017,2022,2029,2035,2040,2057,2062,2066,2074,2077,2083,2088,2092,2095,2099,2103,2105,2109,2112,2116,2121,2131,2138,2143,2146,2151,2152,2154,2159,2163,2166,2169,2170,2176,2177,2178,2179,2180,2180,2182,2186,2190,2193,2194,2197,2197,2200,2201,2203,2205,2205,2207,2207,2209,2211,2213,2214,2214,2214,2214,2214,2215,2216,2216,2217,2217,2217,2217,2217,2217,2217,2220,2220,2220,2221,2222,2222,2222,2222,2222,2222,2223,2223,2223,2223,2223,2223,2223,2223
90s,FEMALE,https://raw.githubusercontent.com/Eldrick19/ontario-covid19-analysis/master/img/bar-chart-race/elderly-f.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,3,3,4,4,4,5,5,5,7,11,13,17,27,29,40,53,57,71,84,96,105,119,140,157,191,222,258,285,314,352,384,420,451,509,565,618,674,732,809,888,956,998,1037,1070,1106,1146,1174,1197,1232,1255,1281,1296,1315,1336,1355,1373,1384,1394,1412,1422,1437,1461,1482,1490,1515,1531,1546,1568,1586,1598,1610,1620,1633,1649,1660,1667,1672,1676,1683,1693,1705,1712,1718,1722,1725,1736,1739,1743,1747,1751,1751,1756,1757,1762,1766,1767,1768,1770,1772,1775,1777,1778,1781,1784,1787,1787,1790,1792,1796,1798,1800,1803,1804,1808,1811,1813,1814,1815,1816,1816,1822,1824,1826,1827,1827,1830,1830,1832,1832,1832,1832,1832,1832,1832,1832,1833,1833,1833,1833,1833,1833,1833,1834,1834,1835,1836,1836,1836,1836,1836,1836,1837,1837,1837,1837,1837,1837,1838,1838,1838,1838,1838,1838,1839,1839,1839,1839,1839,1839
<20,FEMALE,https://raw.githubusercontent.com/Eldrick19/ontario-covid19-analysis/master/img/bar-chart-race/minor-f.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,6,8,11,12,17,22,23,25,31,35,38,41,44,48,50,56,62,65,72,76,83,86,88,93,97,99,101,106,112,123,125,130,135,143,152,158,167,177,181,185,189,196,209,214,220,226,235,245,249,256,265,269,279,286,292,301,311,317,321,328,342,352,359,367,379,393,399,411,421,434,446,459,472,481,492,503,514,521,533,538,552,573,587,602,620,628,637,647,660,669,677,688,693,699,703,713,730,738,752,761,772,775,787,797,807,813,821,830,836,846,852,858,860,864,866,869,879,890,899,902,911,919,925,936,944,954,961,971,982,992,1005,1024,1045,1056,1068,1072,1079,1090,1098,1113,1118,1124,1134,1139,1151,1155,1164,1170,1183,1191,1195,1204,1214,1218,1230,1236,1239,1244,1254,1262,1270,1271,1272,1272,1272
UNKNOWN,FEMALE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
