Characteristics,Age Group,Total,Male,Female
  0 to 14 years,<20,2207970,1131615,1076350
    0 to 4 years,<20,697360,357300,340055
    5 to 9 years,<20,756085,387320,368765
    10 to 14 years,<20,754530,387000,367530
    15 to 19 years,<20,811670,416730,394945
    20 to 24 years,20s,894390,457815,436570
    25 to 29 years,20s,874350,436345,438010
    30 to 34 years,30s,864765,420800,443965
    35 to 39 years,30s,842485,402900,439585
    40 to 44 years,40s,871875,418465,453415
    45 to 49 years,40s,937385,453105,484275
    50 to 54 years,50s,1056345,517170,539175
    55 to 59 years,50s,989460,482280,507180
    60 to 64 years,60s,846145,406505,439640
    65 to 69 years,60s,737745,352475,385270
    70 to 74 years,70s,528645,250455,278185
    75 to 79 years,70s,393010,179810,213195
    80 to 84 years,80s,291185,126825,164360
      85 to 89 years,80s,188470,73045,115425
      90 to 94 years,90s,88390,27400,60990
      95 to 99 years,90s,21210,5150,16060
      100 years and over,>100,3005,495,2520
